FID,FireName,FireNo,Label,StartDate,EndDate,AreaHa,PerimeterM,Verdate,Type,Season,ID,Year,Year_Con,Shape__Area,Shape__Length
8485,Mcgregors lane,29016,2009-10 Wildfire,2009/12/04 00:00:00+00,,250.06854298,15578.9739799,26/03/2020,Wildfire,2009-10,8540,2009,2009/01/01 00:00:00+00,2495952.609375,15564.2246207376
8486,Warialda Ambulance Fire,29131,2009-10 Wildfire,2009/12/08 00:00:00+00,,0.26790787,296.32037375,26/03/2020,Wildfire,2009-10,8541,2009,2009/01/01 00:00:00+00,2685.67578125,296.684999058472
8487,Tip Fire,29129,2009-10 Wildfire,2009/12/08 00:00:00+00,,0.06383937,115.67814438,26/03/2020,Wildfire,2009-10,8542,2009,2009/01/01 00:00:00+00,639.328125,115.762771136364
8488,Gummin Bridge,29149,2009-10 Wildfire,2009/12/08 00:00:00+00,,18.18271676,2493.36025902,26/03/2020,Wildfire,2009-10,8543,2009,2009/01/01 00:00:00+00,181703.09765625,2492.50895371755
8489,Murrumbilla Lane Grass,29165,2009-10 Wildfire,2009/12/08 00:00:00+00,,0.58256816,428.33784277,26/03/2020,Wildfire,2009-10,8544,2009,2009/01/01 00:00:00+00,5830.75,428.52418705601
8490,Newell Highway Tree Fire,29214,2009-10 Wildfire,2009/12/09 00:00:00+00,,0.14643549,231.41530653,26/03/2020,Wildfire,2009-10,8545,2009,2009/01/01 00:00:00+00,1468.56640625,231.748202367419
8491,Premer Road Fire,29106,2009-10 Wildfire,2009/12/07 00:00:00+00,,0.82435493,407.1078757,26/03/2020,Wildfire,2009-10,8546,2009,2009/01/01 00:00:00+00,8236.015625,406.921892890366
8492,Mt Tulcumba Fire,28780,2009-10 Wildfire,2009/11/23 00:00:00+00,,2394.24640243,24299.7017655,26/03/2020,Wildfire,2009-10,8547,2009,2009/01/01 00:00:00+00,23942376.7695312,24299.5938847382
8493,Sawn Rocks,28464,2009-10 Wildfire,2009/11/17 00:00:00+00,,3.19790089,703.71837395,26/03/2020,Wildfire,2009-10,8548,2009,2009/01/01 00:00:00+00,32015.7578125,704.122458309412
8494,Brown St Boggabilla Grass,29715,2009-10 Wildfire,2009/12/24 00:00:00+00,,0.22716232,226.06442817,26/03/2020,Wildfire,2009-10,8549,2009,2009/01/01 00:00:00+00,2282.078125,226.583946299493
8495,Gundawera,29612,2009-10 Wildfire,2009/12/22 00:00:00+00,,163.47250578,9365.58894142,26/03/2020,Wildfire,2009-10,8550,2009,2009/01/01 00:00:00+00,1636792.30078125,9371.51106916716
8496,Hazeldene,29679,2009-10 Wildfire,2009/12/23 00:00:00+00,,4.16611819,1022.55495308,26/03/2020,Wildfire,2009-10,8551,2009,2009/01/01 00:00:00+00,41606.59765625,1021.8850289652
8497,Kaufmann,29668,2009-10 Wildfire,2009/12/23 00:00:00+00,,14.38967347,1635.00025161,26/03/2020,Wildfire,2009-10,8552,2009,2009/01/01 00:00:00+00,143846.265625,1634.71362328587
8498,Chinook Grass,29719,2009-10 Wildfire,2009/12/24 00:00:00+00,,3.14132259,890.67114379,26/03/2020,Wildfire,2009-10,8553,2009,2009/01/01 00:00:00+00,31489.640625,891.754083307677
8499,Bellata House (Internal),29763,2009-10 Wildfire,2009/12/29 00:00:00+00,,0.03106671,111.57961675,26/03/2020,Wildfire,2009-10,8554,2009,2009/01/01 00:00:00+00,311.1171875,111.66036803151
8500,Kardinia,29906,2009-10 Wildfire,2010/01/12 00:00:00+00,,6.1520793,979.26285573,26/03/2020,Wildfire,2009-10,8555,2009,2009/01/01 00:00:00+00,61524.59375,979.293106352921
8501,J Block Fire,0,2009-10 Wildfire,2009/12/29 00:00:00+00,,3506.54426193,25418.2712517,26/03/2020,Wildfire,2009-10,8556,2009,2009/01/01 00:00:00+00,35067458.1796875,25419.0039011484
8502,Licking Hole Creek Fire,0,2009-10 Wildfire,2009/12/28 00:00:00+00,,8.6745781,1148.98968084,26/03/2020,Wildfire,2009-10,8557,2009,2009/01/01 00:00:00+00,86582.5859375,1147.90840411708
8503,Mt Pleasant Fire,0,2009-10 Wildfire,2009/01/13 00:00:00+00,,9.0067452,1171.42196987,26/03/2020,Wildfire,2009-10,8558,2009,2009/01/01 00:00:00+00,89897.61328125,1170.31687681561
8504,Sandy Creek Fire,0,2009-10 Wildfire,2009/02/04 00:00:00+00,,3.21518095,670.29079915,26/03/2020,Wildfire,2009-10,8559,2009,2009/01/01 00:00:00+00,32094.4765625,669.6928734459
8505,Mergo Rd - Croppa Ck,29220,2009-10 Wildfire,2009/12/09 00:00:00+00,,0.15798027,194.19682572,26/03/2020,Wildfire,2009-10,8560,2009,2009/01/01 00:00:00+00,1584.90234375,194.509987981913
8506,Coonabarabran Tip,29150,2009-10 Wildfire,2009/12/08 00:00:00+00,,0.23042808,181.44893903,26/03/2020,Wildfire,2009-10,8561,2009,2009/01/01 00:00:00+00,2302.703125,181.387128094755
8507,The Forge,29074,2009-10 Wildfire,2009/12/06 00:00:00+00,,5.78013204,1056.38526832,26/03/2020,Wildfire,2009-10,8562,2009,2009/01/01 00:00:00+00,57691.89453125,1055.38493020118
8508,Burrabadine Fire,29148,2009-10 Wildfire,2009/12/08 00:00:00+00,,8.03070265,1629.25188011,26/03/2020,Wildfire,2009-10,8563,2009,2009/01/01 00:00:00+00,80182.16796875,1627.9850521802
8509,Assist NSWFB - Yarrie Lake Rd,29285,2009-10 Wildfire,2009/12/10 00:00:00+00,,0.56849169,301.46581438,26/03/2020,Wildfire,2009-10,8564,2009,2009/01/01 00:00:00+00,5688.765625,301.567720335563
